;datetime;MotorJoules;ActualSpeed;NetWeight;DistanceKM;StopOnOff;ThrottlePerc;MotorUseCurrent;CompOnOff;FC1Current;FC2Current;FC3Current;MotorTemp;TotalFCPower;FC1AirFlow;FC3AirFlow;FC2AirFlow;BatTotalCurrent;BattOutputPower;MotorTorque;FC1Cool;FC2Cool;FC3Cool;TotalDistance;CompPower;FC3Volt;FC1Volt;FC2Volt;BatMaxV;BatTotalVoltage;BatMinV;HVACDraw;H2Weight;H2Press;BrakePerc;Signal;Is_Wednesday;BatSOC;Is_Friday;H2Temp;Is_Sunday;AirTemp;Is_Saturday;Is_Thursday;Is_Monday;Is_Tuesday;TotalPowerDraw;MotorRPM;TotalAxle;H2Perc;AltChange;SpeedChange
Signal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Is_Wednesday;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BatSOC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8532889044746281;0.8537548712124154;0.854028164124516;;;;;;;;;;;;;;;;;;;;;
Is_Friday;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H2Temp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Is_Sunday;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AirTemp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Is_Saturday;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Is_Thursday;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Is_Monday;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Is_Tuesday;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TotalPowerDraw;;0.9811860911978121;;;;;;0.9794780171852482;;;;;;;;;;0.8442485045150908;0.8367949363517228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MotorRPM;;;1.000.000.000.000.000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TotalAxle;;;;0.999950605255142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H2Perc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8218333332479326;0.8465637393074572;;;;;;;;;;;;;;;;;;
AltChange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SpeedChange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
