Feature,Adjusted Sum
StopOnOff,2183071469.121236
CompOnOff,2183071469.121236
Signal,2183071469.121236
BrakePerc,2182996465.121236
BatSOC,2183071469.121236
H2Temp,2183071469.121236
NetWeight,2183071469.121236
SpeedChange,2183071469.121236
ActualSpeed,2167917833.121236
ThrottlePerc,2293972249.121236
AirTemp,2394428201.121236
