Original Feature,Coefficient
MotorTemp FC3Volt,1294.8541584722698
MotorTorque FC3Volt,1230.4567592858098
FC3Volt H2Temp,1228.5809907652438
AirTemp NetWeight,1227.1575489751995
BrakePerc H2Temp,1183.77189797163
ThrottlePerc HVACDraw,1143.9241317082196
MotorTemp AirTemp,1123.2417289428413
CompPower NetWeight,1105.7106625866145
FC3Volt SpeedChange,1102.853217534721
CompPower H2Temp,1089.605239611119
MotorTorque FC2AirFlow,1035.9522109251973
CompPower BatMinV,998.676410317421
CompPower BrakePerc,974.999371856451
StopOnOff BrakePerc,954.17272390984
CompPower H2Weight,935.5667288452387
FC2AirFlow HVACDraw,933.1980553995818
MotorTemp HVACDraw,864.0115560591221
ThrottlePerc BrakePerc,852.4685576949269
MotorTemp ActualSpeed,813.4808291532099
HVACDraw ActualSpeed,795.0102310087532
HVACDraw^2,783.6915127933025
HVACDraw,766.6641231164467
H2Press BrakePerc,695.0678849741817
MotorTorque CompPower,683.0005297923108
NetWeight,676.2885301974165
ThrottlePerc MotorTemp,659.1305621936917
MotorTemp^2,639.7042419910431
StopOnOff H2Temp,596.3499194802716
H2Temp SpeedChange,592.5630096495152
StopOnOff CompPower,560.5364982727915
StopOnOff AirTemp,557.8116185944527
MotorTorque H2Temp,521.4475222397596
ThrottlePerc H2Temp,495.35529027786106
FC2AirFlow CompPower,488.69659431278706
StopOnOff FC3Volt,478.4766684053466
FC2AirFlow SpeedChange,471.5692517310381
FC3Volt BatSOC,466.04545709164813
CompOnOff FC3Volt,427.2848390415311
CompOnOff AirTemp,426.13678756635636
MotorTemp NetWeight,424.25279964879155
FC2AirFlow NetWeight,423.13821917492896
MotorTemp CompPower,406.2153109591454
HVACDraw BrakePerc,388.97787936218083
CompPower^2,385.3338539004326
FC3Volt HVACDraw,370.3515157457441
HVACDraw AirTemp,367.1971468180418
FC3Volt H2Perc,345.82174360752106
BrakePerc NetWeight,319.5025561917573
MotorTemp BrakePerc,292.52682456793264
HVACDraw H2Press,283.5105611756444
H2Perc NetWeight,269.0986506571062
CompPower SpeedChange,256.25523430109024
CompPower FC3Volt,254.70807534456253
CompPower AirTemp,254.22771081328392
CompOnOff BrakePerc,235.16901847254485
StopOnOff NetWeight,222.69823096692562
HVACDraw NetWeight,217.82250022236258
CompOnOff NetWeight,212.746956191957
FC3Volt ActualSpeed,198.54608698748052
MotorTorque BrakePerc,193.88670830203046
FC3Volt NetWeight,189.664276573807
MotorTorque AirTemp,188.01936672255397
BatMinV BrakePerc,128.04292882233858
CompPower HVACDraw,127.57673324085772
BrakePerc^2,111.9683117121458
HVACDraw SpeedChange,98.63870767690241
H2Weight^2,84.31749588623643
FC2AirFlow H2Temp,72.14004783239216
MotorTorque HVACDraw,0.5163836475403514
