,Base Feature,Additional Feature,Correlation
125,SpeedChange,Is_Sunday,
126,SpeedChange,AirTemp,-0.000126207977932949
127,SpeedChange,Is_Saturday,
128,SpeedChange,Is_Thursday,-6.187591114315248e-05
129,SpeedChange,Is_Monday,5.018186515887022e-05
130,SpeedChange,Is_Tuesday,7.309259158547871e-05
131,SpeedChange,TotalPowerDraw,0.5473176162678909
132,SpeedChange,MotorRPM,0.16080687386552506
133,SpeedChange,TotalAxle,0.004445144007209214
134,SpeedChange,SpeedChange,0.9999999999999999
135,MotorJoules,DistanceKM,0.0018122646694419303
136,MotorJoules,StopOnOff,0.3161423419750689
137,MotorJoules,ThrottlePerc,0.7251176235901785
138,MotorJoules,MotorUseCurrent,0.9988328230399857
139,MotorJoules,CompOnOff,-0.2413747331022093
140,MotorJoules,FC2Current,0.19639494538928456
141,MotorJoules,FC3Current,0.19632505526960412
142,MotorJoules,MotorTemp,0.1771333394576236
143,MotorJoules,TotalFCPower,0.17920284321459226
144,MotorJoules,FC1AirFlow,0.1617907715236453
145,MotorJoules,FC3AirFlow,0.16003738671620998
146,MotorJoules,FC2AirFlow,0.15922459186108473
147,MotorJoules,BatTotalCurrent,0.8493911311136096
148,MotorJoules,BattOutputPower,0.8406781962908119
149,MotorJoules,MotorTorque,0.7343779474270676
150,MotorJoules,FC1Cool,0.09806484841201592
151,MotorJoules,FC2Cool,0.09412934814205705
152,MotorJoules,FC3Cool,0.09472529800279746
153,MotorJoules,TotalDistance,0.09452666902558925
154,MotorJoules,CompPower,-0.06725557696714916
155,MotorJoules,FC3Volt,0.07198211798827699
156,MotorJoules,FC1Volt,0.07274118739751359
157,MotorJoules,FC2Volt,0.07231298769298732
158,MotorJoules,BatMaxV,0.05626030245446502
159,MotorJoules,BatTotalVoltage,0.051515819640828985
160,MotorJoules,BatMinV,0.04810749679450743
161,MotorJoules,HVACDraw,0.07188589990023773
162,MotorJoules,H2Weight,0.051583324777372035
163,MotorJoules,H2Press,0.0480554102915623
164,MotorJoules,BrakePerc,-0.15006062144583465
165,MotorJoules,Signal,0.026873788987919905
166,MotorJoules,Is_Wednesday,-0.02374296687412581
167,MotorJoules,BatSOC,0.004488680000360122
168,MotorJoules,Is_Friday,0.015702686169880464
169,MotorJoules,H2Temp,0.008801051770567765
170,MotorJoules,Is_Sunday,
171,MotorJoules,AirTemp,-0.02019447986959565
172,MotorJoules,Is_Saturday,
173,MotorJoules,Is_Thursday,0.005522917451696919
174,MotorJoules,Is_Monday,0.011488509715009884
175,MotorJoules,Is_Tuesday,-0.007518871135723324
176,MotorJoules,TotalPowerDraw,0.9811860911978136
177,MotorJoules,MotorRPM,0.5114764283725105
178,MotorJoules,TotalAxle,0.1081128979386748
179,MotorJoules,SpeedChange,0.5339932043516422
