,MAE,MSE,RMSE,R²
Degree 3,109382.01045521753,64452112028.59978,253874.20512647554,0.6270454967904318
Degree 2,109811.69638369666,65540106060.27151,256008.01952335692,0.6207691987904689
Degree 1,151969.2184125956,89977859451.55354,299963.096816181,0.47948590902916033
